CNOT error rate
date,(0,1),(1,0),(1,2),(1,3),(2,1),(3,1),(3,4),(4,3)
2020-12-02,no data,no data,no data,no data,no data,no data,no data,no data
2020-12-01,0.0085097088,0.0085097088,0.0105939994,0.0105939994,0.0102095366,0.0102095366,0.0085292834,0.0085292834
2020-11-30,0.0094260502,0.0094260502,0.0080286142,0.0080286142,0.0078505603,0.0078505603,0.0068920084,0.0068920084
2020-11-29,0.0148702719,0.0148702719,0.0113738041,0.0113738041,0.0077330428,0.0077330428,0.0065976695,0.0065976695
2020-11-28,0.0134392867,0.0134392867,0.0094729344,0.0094729344,0.0072287995,0.0072287995,0.0080104551,0.0080104551
2020-11-27,0.0163302034,0.0163302034,0.0091969075,0.0091969075,0.0065361924,0.0065361924,0.0070252312,0.0070252312
2020-11-26,no data,no data,no data,no data,no data,no data,no data,no data
2020-11-25,0.0080262775,0.0080262775,0.0076403353,0.0076403353,0.0073116242,0.0073116242,0.0062735614,0.0062735614
2020-11-24,0.0086971857,0.0086971857,0.0080362808,0.0080362808,0.0075324223,0.0075324223,0.0065960959,0.0065960959
2020-11-23,0.0089148992,0.0089148992,0.0067112868,0.0067112868,0.0074059565,0.0074059565,0.0060238766,0.0060238766
2020-11-22,0.0081145438,0.0081145438,0.0067686836,0.0067686836,0.0068879758,0.0068879758,0.0062358684,0.0062358684
2020-11-21,0.0085833288,0.0085833288,0.0071937414,0.0071937414,0.0064646958,0.0064646958,0.0060939220,0.0060939220
2020-11-20,0.0094929699,0.0094929699,0.0072230637,0.0072230637,0.0062045847,0.0062045847,0.0062298158,0.0062298158
2020-11-19,0.0082182050,0.0082182050,0.0078661469,0.0078661469,0.0063047260,0.0063047260,0.0094367003,0.0094367003
2020-11-18,0.0076382747,0.0076382747,0.0082244194,0.0082244194,0.0072539491,0.0072539491,0.0103307944,0.0103307944
2020-11-17,0.0078698255,0.0078698255,0.0076665338,0.0076665338,0.0069462778,0.0069462778,0.0090862354,0.0090862354
2020-11-16,0.0079655999,0.0079655999,0.0075836514,0.0075836514,0.0084215545,0.0084215545,0.0098638527,0.0098638527
2020-11-15,0.0075440415,0.0075440415,0.0070427831,0.0070427831,0.0072976279,0.0072976279,0.0073736767,0.0073736767
2020-11-14,0.0089423887,0.0089423887,0.0143565851,0.0143565851,0.0065266738,0.0065266738,0.0098733022,0.0098733022
2020-11-13,0.0090741521,0.0090741521,0.0137429042,0.0137429042,0.0073273773,0.0073273773,0.0102748058,0.0102748058
2020-11-12,0.0090408193,0.0090408193,0.0095882789,0.0095882789,0.0067506933,0.0067506933,0.0075994857,0.0075994857
2020-11-11,0.0096886026,0.0096886026,0.0147957575,0.0147957575,0.0063868070,0.0063868070,0.0072342569,0.0072342569
2020-11-10,0.0101746550,0.0101746550,0.0151604971,0.0151604971,0.0074037793,0.0074037793,0.0076259189,0.0076259189
2020-11-09,0.0105448588,0.0105448588,0.0092501001,0.0092501001,0.0072894304,0.0072894304,0.0063456671,0.0063456671
2020-11-08,0.0198500510,0.0198500510,0.0104517049,0.0104517049,0.0069260183,0.0069260183,0.0066880014,0.0066880014
2020-11-07,0.0089976435,0.0089976435,0.0083447652,0.0083447652,0.0071410365,0.0071410365,0.0072980576,0.0072980576
2020-11-06,0.0075924693,0.0075924693,0.0080647389,0.0080647389,0.0077888754,0.0077888754,0.0077919057,0.0077919057
2020-11-05,0.0091623978,0.0091623978,0.0080473390,0.0080473390,0.0077469927,0.0077469927,0.0084277323,0.0084277323
2020-11-04,0.0072826287,0.0072826287,0.0082692074,0.0082692074,0.0070963812,0.0070963812,0.0086901798,0.0086901798
2020-11-03,0.0088000783,0.0088000783,0.0086078021,0.0086078021,0.0075069344,0.0075069344,0.0064864700,0.0064864700
2020-11-02,0.0085765510,0.0085765510,0.0086830252,0.0086830252,0.0069766723,0.0069766723,0.0082607405,0.0082607405
2020-11-01,0.0082527769,0.0082527769,0.0081570829,0.0081570829,0.0072163454,0.0072163454,0.0069728770,0.0069728770
2020-10-31,0.0086391981,0.0086391981,0.0075788789,0.0075788789,0.0073364115,0.0073364115,0.0071535723,0.0071535723
2020-10-30,0.0084132180,0.0084132180,0.0077273090,0.0077273090,0.0071761018,0.0071761018,0.0081711140,0.0081711140
2020-10-29,0.0087113079,0.0087113079,0.0090553665,0.0090553665,0.0064442538,0.0064442538,0.0081715381,0.0081715381
2020-10-28,0.0077777869,0.0077777869,0.0085914258,0.0085914258,0.0072201154,0.0072201154,0.0084987539,0.0084987539
2020-10-27,0.0094829505,0.0094829505,0.0081481096,0.0081481096,0.0080138584,0.0080138584,0.0090272561,0.0090272561
2020-10-26,0.0097890701,0.0097890701,0.0081010369,0.0081010369,0.0070528848,0.0070528848,0.0078960219,0.0078960219
2020-10-25,0.0080328292,0.0080328292,0.0074233598,0.0074233598,0.0070917860,0.0070917860,0.0077842848,0.0077842848
2020-10-24,0.0082074448,0.0082074448,0.0085642319,0.0085642319,0.0068617741,0.0068617741,0.0081826578,0.0081826578
2020-10-23,0.0074921682,0.0074921682,0.0089662737,0.0089662737,0.0071460165,0.0071460165,0.0075637144,0.0075637144
2020-10-22,0.0097244098,0.0097244098,0.0076364696,0.0076364696,0.0073175419,0.0073175419,0.0073807134,0.0073807134
2020-10-21,0.0087245334,0.0087245334,0.0075791529,0.0075791529,0.0067705618,0.0067705618,0.0085048715,0.0085048715
2020-10-20,0.0080286158,0.0080286158,0.0088114378,0.0088114378,0.0078803947,0.0078803947,0.0081954787,0.0081954787
2020-10-19,0.0095869229,0.0095869229,0.0094230322,0.0094230322,0.0077734335,0.0077734335,0.0085481946,0.0085481946
2020-10-18,0.0097659078,0.0097659078,0.0090795361,0.0090795361,0.0072293639,0.0072293639,0.0076778824,0.0076778824
2020-10-17,0.0080641872,0.0080641872,0.0086816857,0.0086816857,0.0076496411,0.0076496411,0.0080673641,0.0080673641
2020-10-16,0.0074771568,0.0074771568,0.0079233666,0.0079233666,0.0067993679,0.0067993679,0.0076816674,0.0076816674
2020-10-15,0.0093037448,0.0093037448,0.0084382274,0.0084382274,0.0071788918,0.0071788918,0.0069929772,0.0069929772
2020-10-14,0.0087855180,0.0087855180,0.0072791725,0.0072791725,0.0109423356,0.0109423356,0.0108731812,0.0108731812
