Readout error
date,q0,q1,q2,q3,q4
2020-12-02,no data,no data,no data,no data,no data
2020-12-01,0.0163000000,0.0156000000,0.0558000000,0.0162000000,0.0187000000
2020-11-30,0.0178000000,0.0160000000,0.0259000000,0.0186000000,0.0164000000
2020-11-29,0.0167000000,0.0205000000,0.0259000000,0.0174000000,0.0163000000
2020-11-28,0.0182000000,0.0210000000,0.0244000000,0.0202000000,0.0221000000
2020-11-27,0.0212000000,0.0198000000,0.0276000000,0.0161000000,0.0203000000
2020-11-26,no data,no data,no data,no data,no data
2020-11-25,0.0215000000,0.0140000000,0.0225000000,0.0152000000,0.0183000000
2020-11-24,0.0121000000,0.0119000000,0.0168000000,0.0153000000,0.0174000000
2020-11-23,0.0244000000,0.0146000000,0.0180000000,0.0130000000,0.0165000000
2020-11-22,0.0122000000,0.0113000000,0.0158000000,0.0151000000,0.0166000000
2020-11-21,0.0120000000,0.0130000000,0.0139000000,0.0144000000,0.0163000000
2020-11-20,0.0129000000,0.0165000000,0.0143000000,0.0137000000,0.0161000000
2020-11-19,0.0136000000,0.0148000000,0.0138000000,0.0131000000,0.0194000000
2020-11-18,0.0126000000,0.0134000000,0.0108000000,0.0156000000,0.0200000000
2020-11-17,0.0142000000,0.0147000000,0.0142000000,0.0134000000,0.0376000000
2020-11-16,0.0117000000,0.0184000000,0.0106000000,0.0154000000,0.0353000000
2020-11-15,0.0115000000,0.0138000000,0.0123000000,0.0155000000,0.0167000000
2020-11-14,0.0130000000,0.0140000000,0.0138000000,0.0134000000,0.0350000000
2020-11-13,0.0122000000,0.0134000000,0.0140000000,0.0149000000,0.0251000000
2020-11-12,0.0173000000,0.0140000000,0.0274000000,0.0140000000,0.0180000000
2020-11-11,0.0115000000,0.0253000000,0.0207000000,0.0165000000,0.0147000000
2020-11-10,0.0115000000,0.0339000000,0.0254000000,0.0167000000,0.0189000000
2020-11-09,0.0133000000,0.0259000000,0.0239000000,0.0159000000,0.0200000000
2020-11-08,0.0173000000,0.0225000000,0.0170000000,0.0136000000,0.0192000000
2020-11-07,0.0125000000,0.0165000000,0.0168000000,0.0157000000,0.0173000000
2020-11-06,0.0113000000,0.0142000000,0.0167000000,0.0114000000,0.0175000000
2020-11-05,0.0153000000,0.0129000000,0.0149000000,0.0147000000,0.0193000000
2020-11-04,0.0111000000,0.0180000000,0.0183000000,0.0137000000,0.0181000000
2020-11-03,0.0111000000,0.0135000000,0.0180000000,0.0139000000,0.0201000000
2020-11-02,0.0110000000,0.0156000000,0.0187000000,0.0137000000,0.0158000000
2020-11-01,0.0143000000,0.0152000000,0.0161000000,0.0127000000,0.0183000000
2020-10-31,0.0114000000,0.0138000000,0.0165000000,0.0127000000,0.0188000000
2020-10-30,0.0110000000,0.0165000000,0.0166000000,0.0137000000,0.0153000000
2020-10-29,0.0123000000,0.0124000000,0.0150000000,0.0153000000,0.0257000000
2020-10-28,0.0124000000,0.0155000000,0.0135000000,0.0145000000,0.0155000000
2020-10-27,0.0130000000,0.0145000000,0.0113000000,0.0133000000,0.0173000000
2020-10-26,0.0128000000,0.0149000000,0.0147000000,0.0176000000,0.0223000000
2020-10-25,0.0123000000,0.0202000000,0.0132000000,0.0156000000,0.0163000000
2020-10-24,0.0119000000,0.0122000000,0.0136000000,0.0144000000,0.0209000000
2020-10-23,0.0124000000,0.1495000000,0.0133000000,0.0135000000,0.0174000000
2020-10-22,0.0123000000,0.0138000000,0.0115000000,0.0155000000,0.0203000000
2020-10-21,0.0125000000,0.0160000000,0.0135000000,0.0132000000,0.0186000000
2020-10-20,0.0131000000,0.0171000000,0.0143000000,0.0190000000,0.0189000000
2020-10-19,0.0137000000,0.0178000000,0.0165000000,0.0157000000,0.0178000000
2020-10-18,0.0153000000,0.0158000000,0.0174000000,0.0155000000,0.0212000000
2020-10-17,0.0124000000,0.0145000000,0.0143000000,0.0133000000,0.0226000000
2020-10-16,0.0101000000,0.0136000000,0.0184000000,0.0145000000,0.0172000000
2020-10-15,0.0182000000,0.0121000000,0.0141000000,0.0137000000,0.0161000000
2020-10-14,0.0149000000,0.0145000000,0.0135000000,0.0166000000,0.0184000000
2020-10-13,0.0122000000,0.0169000000,0.0135000000,0.0119000000,0.0152000000
2020-10-12,0.0104000000,0.0137000000,0.0123000000,0.0147000000,0.0159000000
2020-10-11,0.0129000000,0.0174000000,0.0176000000,0.0143000000,0.0165000000
2020-10-10,0.0115000000,0.0138000000,0.0152000000,0.0158000000,0.0160000000
2020-10-09,0.0122000000,0.0154000000,0.0159000000,0.0126000000,0.0161000000
2020-10-08,0.0132000000,0.0154000000,0.0127000000,0.0140000000,0.0162000000
2020-10-07,0.0200000000,0.0165000000,0.0787000000,0.0114000000,0.0168000000
