T2 times in s
date,q0,q1,q2,q3,q4
2020-12-02,no data,no data,no data,no data,no data
2020-12-01,0.0000876966,0.0000850605,0.0000801987,0.0000222142,0.0001261341
2020-11-30,0.0000899467,0.0001210551,0.0001422226,0.0000289467,0.0001185322
2020-11-29,0.0001117965,0.0000856327,0.0001167722,0.0000269205,0.0001359157
2020-11-28,0.0001334656,0.0000737291,0.0001454711,0.0000239049,0.0001388665
2020-11-27,0.0000965327,0.0000505390,0.0001402856,0.0000247432,0.0001416753
2020-11-26,no data,no data,no data,no data,no data
2020-11-25,0.0001416461,0.0001115584,0.0000987075,0.0000258002,0.0000756903
2020-11-24,0.0001182106,0.0001303612,0.0001104400,0.0000277161,0.0000842659
2020-11-23,0.0000729098,0.0001318778,0.0000864465,0.0000272895,0.0000609735
2020-11-22,0.0001571933,0.0000745770,0.0001216250,0.0000284834,0.0000687545
2020-11-21,0.0001110124,0.0000734306,0.0001389104,0.0000251183,0.0001409046
2020-11-20,0.0001274322,0.0001133672,0.0001043522,0.0000291992,0.0001344252
2020-11-19,0.0000477366,0.0000866236,0.0001180902,0.0000305673,0.0001180024
2020-11-18,0.0001105977,0.0000757587,0.0001519332,0.0000297819,0.0000797305
2020-11-17,0.0001079510,0.0000825916,0.0001430650,0.0000295903,0.0000310964
2020-11-16,0.0000802769,0.0000969262,0.0001444531,0.0000277448,0.0000381556
2020-11-15,0.0001144562,0.0000813566,0.0001109391,0.0000278396,0.0001161072
2020-11-14,0.0001424644,0.0000984015,0.0001189019,0.0000283995,0.0000488138
2020-11-13,0.0000899272,0.0000916380,0.0001439224,0.0000281498,0.0000679197
2020-11-12,0.0000909056,0.0000770485,0.0001174722,0.0000248316,0.0001102630
2020-11-11,0.0001371070,0.0000553080,0.0000083520,0.0000280157,0.0000980889
2020-11-10,0.0001554541,0.0000346540,0.0000080360,0.0000311736,0.0001063115
2020-11-09,0.0001254588,0.0000390500,0.0001941284,0.0000274070,0.0001090199
2020-11-08,0.0000734919,0.0000935644,0.0001195578,0.0000289260,0.0001182084
2020-11-07,0.0001518776,0.0000933373,0.0000416756,0.0000257579,0.0001332733
2020-11-06,0.0001014142,0.0001210390,0.0000388718,0.0000289267,0.0000863518
2020-11-05,0.0001094585,0.0000770870,0.0001061953,0.0000273664,0.0001046918
2020-11-04,0.0001392925,0.0000859789,0.0001307982,0.0000270981,0.0000428498
2020-11-03,0.0001407732,0.0001105067,0.0001481920,0.0000283306,0.0000935665
2020-11-02,0.0001191397,0.0001030888,0.0000615818,0.0000288170,0.0001093322
2020-11-01,0.0001170149,0.0001118896,0.0000592180,0.0000267494,0.0000677618
2020-10-31,0.0001630636,0.0000831721,0.0001197307,0.0000258040,0.0000745647
2020-10-30,0.0001094157,0.0001061613,0.0001247243,0.0000264225,0.0000975222
2020-10-29,0.0001524970,0.0000977655,0.0001105598,0.0000282383,0.0000773886
2020-10-28,0.0001576544,0.0001190310,0.0000669687,0.0000277089,0.0001129467
2020-10-27,0.0000448477,0.0000866609,0.0001342445,0.0000243395,0.0001332762
2020-10-26,0.0000621481,0.0000712279,0.0001367941,0.0000274409,0.0000710722
2020-10-25,0.0001137818,0.0001282875,0.0001446849,0.0000267945,0.0001063662
2020-10-24,0.0001644728,0.0000974654,0.0001392338,0.0000282122,0.0001232439
2020-10-23,0.0001231400,0.0000986190,0.0001481679,0.0000287579,0.0000836569
2020-10-22,0.0001599689,0.0000505980,0.0001307957,0.0000251056,0.0000687203
2020-10-21,0.0001706663,0.0001010182,0.0001425620,0.0000290601,0.0000892547
2020-10-20,0.0001429171,0.0001059276,0.0001389612,0.0000246962,0.0000783053
2020-10-19,0.0001068409,0.0000918647,0.0001585832,0.0000283193,0.0001033495
2020-10-18,0.0001061126,0.0000999752,0.0001515314,0.0000286326,0.0001002630
2020-10-17,0.0001521327,0.0001209968,0.0001820977,0.0000288391,0.0000842600
2020-10-16,0.0001364126,0.0001309303,0.0001041895,0.0000280393,0.0000899343
2020-10-15,0.0001339336,0.0000994327,0.0001108644,0.0000250465,0.0000825013
2020-10-14,0.0000545135,0.0001647094,0.0001256951,0.0000260823,0.0001142335
2020-10-13,0.0001713767,0.0000839545,0.0001155336,0.0000268433,0.0000887218
2020-10-12,0.0001559226,0.0001079085,0.0000941063,0.0000287460,0.0000723547
2020-10-11,0.0001371709,0.0000715961,0.0001418761,0.0000279767,0.0001411408
2020-10-10,0.0001670036,0.0000929140,0.0000950463,0.0000296234,0.0001366034
2020-10-09,0.0001116603,0.0000896258,0.0000724611,0.0000248041,0.0000977274
2020-10-08,0.0001078697,0.0000935275,0.0000912256,0.0000253472,0.0000954419
2020-10-07,0.0001511542,0.0001207350,0.0000408913,0.0000262594,0.0001142290
