Readout error
date,q0,q1,q2,q3,q4
2020-12-02,0.0473000000,0.0264000000,0.0360000000,0.0232000000,0.0140000000
2020-12-01,0.0637000000,0.0286000000,0.0369000000,0.0155000000,0.0149000000
2020-11-30,0.0322000000,0.0272000000,0.0395000000,0.0212000000,0.0391000000
2020-11-29,0.0368000000,0.0347000000,0.0367000000,0.0233000000,0.0134000000
2020-11-28,0.0345000000,0.0277000000,0.0422000000,0.0212000000,0.0151000000
2020-11-27,0.0357000000,0.0241000000,0.0356000000,0.0226000000,0.0180000000
2020-11-26,0.0359000000,0.0332000000,0.0350000000,0.0175000000,no data
2020-11-25,0.1578000000,0.0405000000,0.0784000000,0.0259000000,0.0184000000
2020-11-24,0.0335000000,0.0271000000,0.1170000000,0.0163000000,0.0112000000
2020-11-23,0.1996000000,0.0348000000,0.0356000000,0.0235000000,0.0167000000
2020-11-22,0.0428000000,0.0335000000,0.0613000000,0.0185000000,0.0122000000
2020-11-21,no data,no data,no data,no data,no data
2020-11-20,0.0434000000,0.0294000000,0.0327000000,0.0188000000,no data
2020-11-19,0.0379000000,0.0277000000,0.0398000000,no data,no data
2020-11-18,0.0466000000,0.0416000000,0.0396000000,no data,no data
2020-11-17,0.0388000000,0.0310000000,0.0365000000,0.0252000000,no data
2020-11-16,0.0366000000,0.0407000000,0.0297000000,0.0307000000,no data
2020-11-15,0.0409000000,0.0339000000,0.0372000000,no data,no data
2020-11-14,0.0392000000,0.0317000000,0.0383000000,no data,0.0119000000
2020-11-13,0.0881000000,no data,0.0512000000,no data,0.0167000000
2020-11-12,0.0509000000,0.0286000000,0.0360000000,no data,no data
2020-11-11,0.0414000000,0.0407000000,0.0344000000,0.0202000000,0.0142000000
2020-11-10,0.0551000000,0.0394000000,0.0575000000,0.0216000000,0.0159000000
2020-11-09,0.0381000000,0.0505000000,0.0377000000,no data,no data
2020-11-08,0.0345000000,0.0334000000,0.0303000000,0.0159000000,no data
2020-11-07,0.0429000000,0.0290000000,0.0359000000,0.0197000000,no data
2020-11-06,0.0364000000,0.0308000000,0.0448000000,0.0220000000,no data
2020-11-05,0.0359000000,0.0364000000,0.0377000000,0.0245000000,no data
2020-11-04,0.0343000000,0.0337000000,0.0305000000,0.0249000000,0.0123000000
2020-11-03,0.0386000000,0.0404000000,0.0382000000,0.0176000000,0.0144000000
2020-11-02,0.0353000000,0.0437000000,0.0345000000,0.0213000000,0.0138000000
2020-11-01,0.0346000000,0.0331000000,0.0336000000,0.0325000000,no data
2020-10-31,0.0333000000,0.0269000000,0.0334000000,0.0255000000,0.0152000000
2020-10-30,0.0396000000,0.0334000000,0.0298000000,no data,no data
2020-10-29,0.0369000000,0.0269000000,0.0342000000,no data,no data
2020-10-28,0.0433000000,0.0344000000,0.0383000000,0.0252000000,0.0147000000
2020-10-27,0.0479000000,0.0363000000,0.0416000000,0.0229000000,no data
2020-10-26,0.0327000000,no data,0.0394000000,0.0215000000,no data
2020-10-25,0.0386000000,0.0668000000,0.0430000000,0.0239000000,0.0124000000
2020-10-24,0.0299000000,0.0262000000,0.0408000000,0.0248000000,0.0169000000
2020-10-23,0.0382000000,0.0312000000,0.0372000000,no data,no data
2020-10-22,0.0461000000,0.0305000000,0.0329000000,no data,0.0127000000
2020-10-21,0.0385000000,0.0562000000,0.0440000000,0.0239000000,0.0160000000
2020-10-20,no data,0.0274000000,0.0633000000,0.0233000000,no data
2020-10-19,0.0483000000,0.0311000000,0.0312000000,0.0343000000,no data
2020-10-18,0.0388000000,0.0267000000,0.0328000000,no data,0.0245000000
2020-10-17,0.0432000000,0.0413000000,0.0444000000,0.0342000000,no data
2020-10-16,0.0365000000,0.0497000000,0.0358000000,0.0215000000,0.0138000000
2020-10-15,0.0385000000,0.0402000000,0.0349000000,0.0248000000,0.0104000000
2020-10-14,0.0361000000,0.0455000000,0.0315000000,no data,no data
2020-10-13,no data,0.0361000000,0.0371000000,no data,0.0225000000
2020-10-12,0.0421000000,0.0326000000,0.0481000000,no data,0.0143000000
2020-10-11,0.0406000000,0.0246000000,0.0363000000,no data,0.0116000000
2020-10-10,0.0410000000,0.0279000000,0.0368000000,no data,no data
2020-10-09,0.0382000000,0.0312000000,0.0399000000,no data,no data
2020-10-08,0.0365000000,0.0298000000,0.0448000000,no data,no data
2020-10-07,0.0374000000,0.0303000000,0.0456000000,no data,0.0121000000
