T1 times in s
date,q0,q1,q2,q3,q4
2020-12-02,0.0001290082,0.0000858285,0.0001427900,0.0000706427,0.0001131755
2020-12-01,0.0001231636,0.0000822509,0.0001427393,0.0001108583,0.0001031053
2020-11-30,0.0000528686,0.0000762312,0.0001271351,0.0000974565,0.0001173729
2020-11-29,0.0001196004,0.0000842194,0.0001347800,0.0001185918,0.0000916317
2020-11-28,0.0001085925,0.0000860392,0.0001244057,0.0000907451,0.0001270322
2020-11-27,0.0000794422,0.0000904202,0.0001384107,0.0001215555,0.0000731144
2020-11-26,0.0001046272,0.0000868052,0.0001531684,0.0001403264,0.0000864651
2020-11-25,no data,0.0000945929,0.0000837532,0.0000941307,no data
2020-11-24,0.0000701866,0.0000838827,0.0001172711,0.0000939821,0.0001075626
2020-11-23,0.0000828867,0.0000538833,no data,0.0001016195,0.0001241943
2020-11-22,0.0001044340,0.0000672851,0.0001023817,0.0000841136,0.0000810478
2020-11-21,no data,no data,no data,no data,no data
2020-11-20,0.0001152117,no data,0.0000989202,0.0001268509,0.0000727928
2020-11-19,0.0000753071,0.0000736269,0.0001240992,0.0001175278,0.0001109527
2020-11-18,0.0001253984,0.0000621062,0.0001139104,0.0001374616,0.0000866624
2020-11-17,0.0001214935,0.0000717089,0.0001155401,0.0001191035,0.0001224527
2020-11-16,0.0001259821,0.0000727595,0.0000902559,0.0000909689,0.0001190671
2020-11-15,0.0001101409,0.0000673545,0.0001495649,0.0001420837,0.0001171400
2020-11-14,0.0000731745,0.0000860869,0.0001206084,0.0001079277,0.0001042122
2020-11-13,0.0000964228,0.0000684469,0.0001048917,0.0000939534,0.0000863282
2020-11-12,0.0000834228,0.0000866104,0.0001002631,0.0001266385,0.0001178699
2020-11-11,0.0001354404,0.0000498831,0.0001027681,0.0000811085,0.0000848193
2020-11-10,0.0001099779,0.0000859557,0.0001180827,0.0001102167,0.0000685079
2020-11-09,no data,0.0000723893,0.0001070899,0.0001243945,0.0000583140
2020-11-08,0.0000987050,0.0000705071,0.0001001826,0.0001016652,0.0000920321
2020-11-07,0.0001393017,0.0001010293,0.0000637562,no data,0.0001179257
2020-11-06,0.0001248157,0.0000964099,0.0000832901,0.0000755182,0.0000934076
2020-11-05,0.0001145010,0.0000720743,0.0000921474,0.0001021971,0.0000865226
2020-11-04,0.0000921717,0.0000700523,0.0001301583,0.0000907453,no data
2020-11-03,0.0001178345,0.0000477067,0.0000704320,0.0001154734,0.0001067226
2020-11-02,0.0001082702,0.0000364015,0.0000928500,0.0000734551,0.0000885046
2020-11-01,0.0001010517,0.0000662079,0.0000938480,0.0001076684,0.0001386399
2020-10-31,0.0000962416,0.0000694629,0.0000894290,0.0000636377,0.0001016162
2020-10-30,0.0001155416,0.0000844039,0.0000705600,0.0000669037,0.0000914418
2020-10-29,0.0001040138,0.0000755937,no data,0.0001146604,0.0001091092
2020-10-28,0.0000977697,0.0000939718,0.0000789110,0.0001264131,0.0000989040
2020-10-27,0.0001018299,0.0000720325,0.0000805439,0.0001077123,0.0000822800
2020-10-26,0.0001573924,0.0000566590,0.0000621190,0.0000879774,0.0001210865
2020-10-25,0.0000994588,0.0000850851,0.0000917746,0.0001255390,0.0000970654
2020-10-24,0.0000974059,0.0000747514,0.0000873899,0.0001093500,0.0001139830
2020-10-23,0.0001475049,0.0000739646,0.0000546879,0.0000867334,0.0000956806
2020-10-22,0.0001335215,no data,no data,0.0000701589,no data
2020-10-21,0.0001359962,0.0000433887,0.0001046797,0.0000728681,0.0000921592
2020-10-20,no data,0.0000946394,0.0001108380,0.0000970244,0.0000749980
2020-10-19,no data,0.0000855880,0.0001458110,0.0000740034,0.0000974690
2020-10-18,0.0001344624,0.0000968325,0.0001128566,0.0000859221,0.0000749141
2020-10-17,0.0001300534,0.0000847309,0.0001459246,0.0000848830,0.0000854979
2020-10-16,0.0001574732,0.0000851079,0.0001587388,0.0000770994,0.0000851174
2020-10-15,0.0001255780,0.0000896193,0.0001101391,0.0000766661,0.0000975864
2020-10-14,0.0001155588,0.0000751685,0.0001294759,0.0001189193,0.0000724004
2020-10-13,no data,0.0000870307,0.0001350741,0.0000464684,0.0000819781
2020-10-12,0.0001514734,0.0001015558,0.0000846431,0.0001184796,0.0001016440
2020-10-11,0.0001139427,0.0000928491,0.0000762952,0.0000739706,0.0001223811
2020-10-10,0.0001503625,0.0000664006,0.0001113547,0.0000556244,0.0001272907
2020-10-09,0.0001429087,0.0001058061,0.0000773364,0.0000398056,0.0001267281
2020-10-08,0.0001521549,0.0000710564,0.0000608857,0.0000780780,0.0001076016
2020-10-07,0.0001356127,0.0000794546,0.0000815662,0.0001133946,0.0000768356
