Workflow ID;Run ID;Candidate Detection (in ms);Program Generation & Workflow Rewrite (in ms);Candidate 1;Candidate 2;Candidate 3;Candiate 4;Candidate 5;Candidate 6;;Median;Workflow ID;Candidate Detection;Program Generation & Rewrite
1;1;355;112220;70591;41629;;;;;;;1;298,5;108002
1;2;379;105218;63333;41885;;;;;;;2;436;108604
1;3;313;109651;67402;42249;;;;;;;3;483;219667,5
1;4;283;112101;66178;45923;;;;;;;4;750,5;323449,5
1;5;294;112360;70609;41751;;;;;;;5;398,5;314537
1;6;288;104988;63362;41626;;;;;;;6;588;631510,5
1;7;283;105522;63083;42439;;;;;;;7;733;929193
1;8;314;119778;69239;50539;;;;;;;;;
1;9;385;118618;67838;50780;;;;;;;;;
1;10;271;107159;61297;45862;;;;;;;;;
1;11;298;106196;63117;43079;;;;;;;;;
1;12;302;108416;68321;40095;;;;;;;;;
1;13;299;113364;65522;47842;;;;;;;;;
1;14;371;106145;59897;46248;;;;;;;;;
1;15;276;113519;70354;43165;;;;;;;;;
1;16;294;106859;62738;44121;;;;;;;;;
1;17;288;106207;65493;40714;;;;;;;;;
1;18;315;111365;69058;42307;;;;;;;;;
1;19;300;108410;66543;41867;;;;;;;;;
1;20;355;117185;67298;49887;;;;;;;;;
1;21;278;103575;60278;43297;;;;;;;;;
1;22;335;109131;61837;47294;;;;;;;;;
1;23;256;105009;63790;41219;;;;;;;;;
1;24;298;110074;66073;44001;;;;;;;;;
1;25;283;105412;62908;42504;;;;;;;;;
1;26;326;110260;68121;42139;;;;;;;;;
1;27;311;101140;60378;40762;;;;;;;;;
1;28;286;109437;63004;46433;;;;;;;;;
1;29;349;103585;62757;40828;;;;;;;;;
1;30;303;104513;61853;42660;;;;;;;;;
1;31;341;109875;65834;44041;;;;;;;;;
1;32;281;110598;62372;48226;;;;;;;;;
1;33;274;114648;69121;45527;;;;;;;;;
1;34;286;104603;61978;42625;;;;;;;;;
1;35;327;108866;59844;49022;;;;;;;;;
1;36;306;111912;63275;48637;;;;;;;;;
1;37;269;107594;58967;48627;;;;;;;;;
1;38;299;106401;63724;42677;;;;;;;;;
1;39;323;102552;60825;41727;;;;;;;;;
1;40;274;107111;60909;46202;;;;;;;;;
1;41;297;111949;63757;48192;;;;;;;;;
1;42;355;109627;62946;46681;;;;;;;;;
1;43;341;107051;61871;45180;;;;;;;;;
1;44;286;101887;58746;43141;;;;;;;;;
1;45;270;107220;59914;47306;;;;;;;;;
1;46;302;110931;65428;45503;;;;;;;;;
1;47;289;106439;64022;42417;;;;;;;;;
1;48;316;100442;59117;41325;;;;;;;;;
1;49;274;113489;66107;47382;;;;;;;;;
1;50;292;106199;65255;40944;;;;;;;;;
2;1;463;106392;59104;47288;;;;;;;;;
2;2;465;107208;60272;46936;;;;;;;;;
2;3;461;102212;60789;41423;;;;;;;;;
2;4;501;106657;63239;43418;;;;;;;;;
2;5;435;107583;61954;45629;;;;;;;;;
2;6;468;112189;68875;43314;;;;;;;;;
2;7;463;112333;70287;42046;;;;;;;;;
2;8;460;112854;68614;44240;;;;;;;;;
